step,value,metric,seed
30000,1.0,num_components,seed000
1000,32089.0,num_edges,seed000
2000,31585.0,num_edges,seed000
3000,30701.0,num_edges,seed000
4000,31239.0,num_edges,seed000
5000,29563.0,num_edges,seed000
6000,28720.0,num_edges,seed000
7000,29663.0,num_edges,seed000
8000,30096.0,num_edges,seed000
9000,26090.0,num_edges,seed000
10000,25896.0,num_edges,seed000
11000,27309.0,num_edges,seed000
12000,29335.0,num_edges,seed000
13000,30801.0,num_edges,seed000
14000,30551.0,num_edges,seed000
15000,31481.0,num_edges,seed000
16000,31775.0,num_edges,seed000
17000,32148.0,num_edges,seed000
18000,31314.0,num_edges,seed000
19000,30795.0,num_edges,seed000
20000,29720.0,num_edges,seed000
21000,30022.0,num_edges,seed000
22000,30922.0,num_edges,seed000
23000,30770.0,num_edges,seed000
24000,30799.0,num_edges,seed000
25000,30604.0,num_edges,seed000
26000,29900.0,num_edges,seed000
27000,29848.0,num_edges,seed000
28000,29444.0,num_edges,seed000
29000,29686.0,num_edges,seed000
30000,29169.0,num_edges,seed000
1000,,num_edges_delta,seed000
2000,-504.0,num_edges_delta,seed000
3000,-884.0,num_edges_delta,seed000
4000,538.0,num_edges_delta,seed000
5000,-1676.0,num_edges_delta,seed000
6000,-843.0,num_edges_delta,seed000
7000,943.0,num_edges_delta,seed000
8000,433.0,num_edges_delta,seed000
9000,-4006.0,num_edges_delta,seed000
10000,-194.0,num_edges_delta,seed000
11000,1413.0,num_edges_delta,seed000
12000,2026.0,num_edges_delta,seed000
13000,1466.0,num_edges_delta,seed000
14000,-250.0,num_edges_delta,seed000
15000,930.0,num_edges_delta,seed000
16000,294.0,num_edges_delta,seed000
17000,373.0,num_edges_delta,seed000
18000,-834.0,num_edges_delta,seed000
19000,-519.0,num_edges_delta,seed000
20000,-1075.0,num_edges_delta,seed000
21000,302.0,num_edges_delta,seed000
22000,900.0,num_edges_delta,seed000
23000,-152.0,num_edges_delta,seed000
24000,29.0,num_edges_delta,seed000
25000,-195.0,num_edges_delta,seed000
26000,-704.0,num_edges_delta,seed000
27000,-52.0,num_edges_delta,seed000
28000,-404.0,num_edges_delta,seed000
29000,242.0,num_edges_delta,seed000
30000,-517.0,num_edges_delta,seed000
1000,,num_edges_rel_change,seed000
2000,-0.0157063168063822,num_edges_rel_change,seed000
3000,-0.0279879689726135,num_edges_rel_change,seed000
4000,0.017523859157682,num_edges_rel_change,seed000
5000,-0.0536508851115592,num_edges_rel_change,seed000
6000,-0.0285153739471636,num_edges_rel_change,seed000
7000,0.03283426183844,num_edges_rel_change,seed000
8000,0.0145973097798604,num_edges_rel_change,seed000
9000,-0.133107389686337,num_edges_rel_change,seed000
10000,-0.007435799156765,num_edges_rel_change,seed000
11000,0.0545644114921224,num_edges_rel_change,seed000
12000,0.0741879966311471,num_edges_rel_change,seed000
13000,0.0499744332708369,num_edges_rel_change,seed000
14000,-0.0081166195902729,num_edges_rel_change,seed000
15000,0.0304409020981308,num_edges_rel_change,seed000
16000,0.009338966360662,num_edges_rel_change,seed000
17000,0.0117387883556254,num_edges_rel_change,seed000
18000,-0.0259425158641284,num_edges_rel_change,seed000
19000,-0.0165740563326307,num_edges_rel_change,seed000
20000,-0.0349082643286248,num_edges_rel_change,seed000
21000,0.0101615074024226,num_edges_rel_change,seed000
22000,0.0299780161215108,num_edges_rel_change,seed000
23000,-0.0049155940754155,num_edges_rel_change,seed000
24000,0.0009424764380889,num_edges_rel_change,seed000
25000,-0.0063313743952725,num_edges_rel_change,seed000
26000,-0.0230035289504639,num_edges_rel_change,seed000
27000,-0.0017391304347825,num_edges_rel_change,seed000
28000,-0.0135352452425623,num_edges_rel_change,seed000
29000,0.0082189919847845,num_edges_rel_change,seed000
30000,-0.0174156167890587,num_edges_rel_change,seed000
1000,256.0,num_nodes,seed000
2000,256.0,num_nodes,seed000
3000,255.0,num_nodes,seed000
4000,256.0,num_nodes,seed000
5000,253.0,num_nodes,seed000
6000,249.0,num_nodes,seed000
7000,252.0,num_nodes,seed000
8000,254.0,num_nodes,seed000
9000,252.0,num_nodes,seed000
10000,253.0,num_nodes,seed000
11000,252.0,num_nodes,seed000
12000,254.0,num_nodes,seed000
13000,254.0,num_nodes,seed000
14000,256.0,num_nodes,seed000
15000,256.0,num_nodes,seed000
16000,256.0,num_nodes,seed000
17000,256.0,num_nodes,seed000
18000,255.0,num_nodes,seed000
19000,255.0,num_nodes,seed000
20000,255.0,num_nodes,seed000
21000,254.0,num_nodes,seed000
22000,254.0,num_nodes,seed000
23000,254.0,num_nodes,seed000
24000,255.0,num_nodes,seed000
25000,254.0,num_nodes,seed000
26000,253.0,num_nodes,seed000
27000,252.0,num_nodes,seed000
28000,252.0,num_nodes,seed000
29000,251.0,num_nodes,seed000
30000,251.0,num_nodes,seed000
1000,0.7602358907461166,sae_sparsity,seed000
2000,0.7328247874975204,sae_sparsity,seed000
3000,0.7071659415960312,sae_sparsity,seed000
4000,0.679619625210762,sae_sparsity,seed000
5000,0.6857280135154724,sae_sparsity,seed000
6000,0.681388720870018,sae_sparsity,seed000
7000,0.6865631639957428,sae_sparsity,seed000
8000,0.695436418056488,sae_sparsity,seed000
9000,0.6171458065509796,sae_sparsity,seed000
10000,0.5993745774030685,sae_sparsity,seed000
11000,0.6474609375,sae_sparsity,seed000
12000,0.6674458682537079,sae_sparsity,seed000
13000,0.7061775475740433,sae_sparsity,seed000
14000,0.6925959140062332,sae_sparsity,seed000
15000,0.7161577194929123,sae_sparsity,seed000
16000,0.7305405735969543,sae_sparsity,seed000
17000,0.7491485327482224,sae_sparsity,seed000
18000,0.6745880395174026,sae_sparsity,seed000
19000,0.6709100157022476,sae_sparsity,seed000
20000,0.6668175011873245,sae_sparsity,seed000
21000,0.6838798522949219,sae_sparsity,seed000
22000,0.6604747176170349,sae_sparsity,seed000
23000,0.6646677255630493,sae_sparsity,seed000
24000,0.6685487180948257,sae_sparsity,seed000
25000,0.6695051491260529,sae_sparsity,seed000
26000,0.6753208488225937,sae_sparsity,seed000
27000,0.6817919015884399,sae_sparsity,seed000
28000,0.6900546699762344,sae_sparsity,seed000
29000,0.6914857029914856,sae_sparsity,seed000
30000,0.6912648379802704,sae_sparsity,seed000
1000,0.0630977683315621,test_acc,seed000
2000,0.0787725823591923,test_acc,seed000
3000,0.0860786397449521,test_acc,seed000
4000,0.0240435706695005,test_acc,seed000
5000,0.048087141339001,test_acc,seed000
6000,0.0553931987247608,test_acc,seed000
7000,0.0580499468650371,test_acc,seed000
8000,0.0626992561105207,test_acc,seed000
9000,0.0437035069075451,test_acc,seed000
10000,0.0484856535600425,test_acc,seed000
11000,0.055260361317747,test_acc,seed000
12000,0.0605738575982996,test_acc,seed000
13000,0.0632306057385759,test_acc,seed000
14000,0.0573857598299681,test_acc,seed000
15000,0.0649574920297555,test_acc,seed000
16000,0.0721307120085015,test_acc,seed000
17000,0.078241232731137,test_acc,seed000
18000,0.1353613177470775,test_acc,seed000
19000,0.1579436769394261,test_acc,seed000
20000,0.1794633368756641,test_acc,seed000
21000,0.2130712008501594,test_acc,seed000
22000,0.8516206163655685,test_acc,seed000
23000,0.848432518597237,test_acc,seed000
24000,0.845510095642933,test_acc,seed000
25000,0.8372741764080766,test_acc,seed000
26000,0.8285069075451648,test_acc,seed000
27000,0.8148246546227418,test_acc,seed000
28000,0.803134962805526,test_acc,seed000
29000,0.7915781083953242,test_acc,seed000
30000,0.7780286928799149,test_acc,seed000
1000,0.0630977683315621,test_acc_rolling_avg,seed000
2000,0.0709351753453772,test_acc_rolling_avg,seed000
3000,0.0759829968119022,test_acc_rolling_avg,seed000
4000,0.0629649309245483,test_acc_rolling_avg,seed000
5000,0.0527364505844845,test_acc_rolling_avg,seed000
6000,0.0425079702444208,test_acc_rolling_avg,seed000
7000,0.0538434289762663,test_acc_rolling_avg,seed000
8000,0.0587141339001062,test_acc_rolling_avg,seed000
9000,0.0548175699610343,test_acc_rolling_avg,seed000
10000,0.0516294721927028,test_acc_rolling_avg,seed000
11000,0.0491498405951115,test_acc_rolling_avg,seed000
12000,0.054773290825363,test_acc_rolling_avg,seed000
13000,0.0596882748848742,test_acc_rolling_avg,seed000
14000,0.0603967410556146,test_acc_rolling_avg,seed000
15000,0.0618579525327665,test_acc_rolling_avg,seed000
